Customer_ID,Gender,Age,Account_Balance,Archetype,Question ID,Question,Answer
1,M,45,121387,6,1,How much can I withdraw from CPF at age 55?,"You can withdraw up to $5,000 unconditionally from age 55."
1,M,45,121387,6,2,What accounts make up CPF savings?,"CPF consists of OA, SA, MediSave, and Retirement Accounts."
1,M,45,121387,6,3,What interest does my Ordinary Account earn?,The Ordinary Account earns 2.5% annual interest.
1,M,45,121387,6,4,What interest does my Special Account earn?,The Special Account earns 4% annual interest.
1,M,45,121387,6,5,What is the Retirement Account?,It is created at age 55 for retirement payouts.
2,F,53,185839,1,6,What are CPF monthly payouts for?,CPF monthly payouts provide retirement income to support daily living expenses.
3,F,47,44364,2,8,What happens to discounted Singtel shares in CPF nomination?,They may be transferred to nominees or sold based on instructions.
3,F,47,44364,2,7,What is the MediSave Account used for?,MediSave is used for healthcare expenses and insurance premiums.
4,M,33,112756,5,9,Can I make a CPF nomination online?,"Yes, online nominations are available via Singpass."
4,M,33,112756,5,10,Can I review my CPF nomination?,"Yes, online review is available anytime."
4,M,33,112756,5,11,Can I top up my Retirement Account?,"Yes, you can top up your Retirement Account up to the Enhanced Retirement Sum."
4,M,33,112756,5,12,Does marriage revoke CPF nominations?,"Yes, marriage revokes prior nominations."
5,M,48,114122,6,21,What happens if I delay CPF LIFE payouts?,Delayed payouts increase monthly payout amounts.
5,M,48,114122,6,17,What happens to my CPF savings at age 55?,Savings from OA and SA are transferred to the Retirement Account.
5,M,48,114122,6,22,What is accrued interest for housing?,Accrued interest refers to the interest your CPF savings would have earned if not used for housing.
5,M,48,114122,6,20,When can I start receiving CPF LIFE payouts?,You can start receiving CPF LIFE payouts anytime between age 65 and 70.
6,M,45,127024,2,24,What is the Enhanced Retirement Sum?,It allows members to receive even higher payouts.
7,F,47,90644,2,27,Is CPF LIFE mandatory?,Eligible members born in 1958 or later are automatically included.
7,F,47,90644,2,28,What happens to unused CPF LIFE premiums after death?,Unused balances are distributed to nominees.
7,F,47,90644,2,30,What is the CPF Withdrawal Lock?,The CPF Withdrawal Lock allows members to set their online withdrawal limit to $0 as an anti-scam measure.
8,F,54,172905,4,32,Can I make partial CPF withdrawals?,"Yes, partial withdrawals are allowed."
8,F,54,172905,4,33,Can I set my Daily Withdrawal Limit lower?,"Yes, members can customise their limits."
8,F,54,172905,4,34,Can I withdraw all my CPF savings at 55?,You can withdraw savings after setting aside the required sums.
